"filename", "language", "YAML", "Dart", "Markdown", "XML", "C++", "JSON", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\association_color.dart", "Dart", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 6, 171
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\association_shape.dart", "Dart", 0, 231, 0, 0, 0, 0, 0, 0, 0, 2, 7, 240
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\associations.dart", "Dart", 0, 315, 0, 0, 0, 0, 0, 0, 0, 17, 11, 343
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\cancel_alert.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\charge_level.dart", "Dart", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 7, 168
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\drawer\help_screen.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\drawer\iedata.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\drawer\settings_screen.dart", "Dart", 0, 634, 0, 0, 0, 0, 0, 0, 0, 0, 23, 657
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_body.dart", "Dart", 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 13, 254
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_color.dart", "Dart", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 10, 143
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_information.dart", "Dart", 0, 303, 0, 0, 0, 0, 0, 0, 0, 0, 10, 313
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_stress_level.dart", "Dart", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 7, 121
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_topic.dart", "Dart", 0, 259, 0, 0, 0, 0, 0, 0, 0, 9, 12, 280
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\topics_panel\topic_item.dart", "Dart", 0, 174, 0, 0, 0, 0, 0, 0, 0, 13, 13, 200
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\topics_panel\topic_panel.dart", "Dart", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 8, 155
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\topics_panel\topics_list.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 49, 9, 137
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\drawing_painter.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\loading_spinner.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\shapes_painter.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 23, 114
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\styles.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\title_app.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\pubspec.yaml", "YAML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 40, 17, 96
"Total", "-", 42, 5943, 13, 123, 1, 185, 12, 91, 8, 209, 382, 7009
